image_ID,artefact_ID,artefact_type,archaeological_culture_name,site_name,level_layer_concentration,country,latitude_y,longitude_x,archaeological_period,dating_BP,dating_sd_BP,dating_labcode,dating_method,citation_reference,editor_name,description
ALI_1,ALI_1_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_10,ALI_10_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_11,ALI_11_pseudo_no_2,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_12,ALI_12_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_13,ALI_13_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_14,ALI_14_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_15,ALI_15_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_16,ALI_16_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_17,ALI_17_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_18,ALI_18_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_19,ALI_19_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_2,ALI_2_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_20,ALI_20_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
